items_edmPreview,items_title,items_dcCreator,items_dataProvider,items_country,items_type,items_edmTimespanLabelLangAware_def,items_id
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fbdh-rd.bne.es%2Fpdf.raw%3Fquery%3Did%3A0000067904%26page%3D1%26jpeg%3Dtrue&size=LARGE&type=TEXT,"La Gran Duquesa de Gérolstein. Pif, paf, puf [Música notada] : zarzuela bufa en 3 actos [La Grande-Duchesse de Gérolstein.. À cheval sur la discipline. Español]",http://datos.bne.es/resource/XX1723475 http://datos.bne.es/resource/XX980668,National Library of Spain,spain,TEXT,1868,/2022717/bnesearch_detalle_bdh0000067904
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fbdh-rd.bne.es%2Fpdf.raw%3Fquery%3Did%3A0000064492%26page%3D1%26jpeg%3Dtrue&size=LARGE&type=TEXT,"Canción del general Bum Bum [Música notada] : Pif, paf, puf : en la zarzuela La gran duquesa de Gérolstein [La Grande-Duchesse de Gérolstein.. À cheval sur la discipline]",http://datos.bne.es/resource/XX1723475 http://datos.bne.es/resource/XX1639643,National Library of Spain,spain,TEXT,1869,/2022717/bnesearch_detalle_bdh0000064492
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fbdh-rd.bne.es%2Fpdf.raw%3Fquery%3Did%3A0000055712%26page%3D1%26jpeg%3Dtrue&size=LARGE&type=TEXT,Beautés du Cheval de bronze. 2e. suite [Música notada] [Beautés pour piano à 4 mains sur des motifs de Le cheval de bronze de Auber.. 2e. suite],http://datos.bne.es/resource/XX1473773 http://datos.bne.es/resource/XX3377682,National Library of Spain,spain,TEXT,1866,/2022717/bnesearch_detalle_bdh0000055712
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fbdh-rd.bne.es%2Fpdf.raw%3Fquery%3Did%3A0000055713%26page%3D1%26jpeg%3Dtrue&size=LARGE&type=TEXT,Beautés du Cheval de bronze. 1re. suite  [Música notada] [Beautés pour piano à 4 mains sur des motifs de Le cheval de bronze de Auber.. 1re. suite],http://datos.bne.es/resource/XX1473773 http://datos.bne.es/resource/XX3377682,National Library of Spain,spain,TEXT,1866,/2022717/bnesearch_detalle_bdh0000055713
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fbdh-rd.bne.es%2Fpdf.raw%3Fquery%3Did%3A0000027156%26page%3D1%26jpeg%3Dtrue&size=LARGE&type=IMAGE,"V. Borrás, le cheval savant. [Material gráfico]",http://datos.bne.es/resource/XX894982 http://datos.bne.es/resource/XX1041771,National Library of Spain,spain,IMAGE,1875,/2022717/bnesearch_detalle_bdh0000027156
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fbdh-rd.bne.es%2Fpdf.raw%3Fquery%3Did%3A0000027139%26page%3D1%26jpeg%3Dtrue&size=LARGE&type=IMAGE,"R. Balaca, Pierre 1er. de Castille poussant son cheval dans le Guadalquivir. (1er  prix au Concourse de Séville). [Material gráfico]","http://datos.bne.es/resource/XX894982 Balaca, Ricardo, 1844-1880",National Library of Spain,spain,IMAGE,1875,/2022717/bnesearch_detalle_bdh0000027139
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.bildindex.de%2Fbilder%2Fd%2Ffr00074c08&size=LARGE&type=IMAGE,Nackter Mann ein Pferd führend,,Bildarchiv Foto Marburg,germany,IMAGE,1525,/2064137/Museu_ProvidedCHO_Bildarchiv_Foto_Marburg_obj20891276
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.bildindex.de%2Fbilder%2Fd%2Ffm182052&size=LARGE&type=IMAGE,"Porträt des Don Francisco de Borja, Herzog von Osuna",,Bildarchiv Foto Marburg,germany,IMAGE,1816,/2064137/Museu_ProvidedCHO_Bildarchiv_Foto_Marburg_obj20891152
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.bildindex.de%2Fbilder%2Fd%2Ffr00378d12&size=LARGE&type=IMAGE,Officier de chasseurs à cheval de la garde impériale chargeant,,Bildarchiv Foto Marburg,germany,IMAGE,1812,/2064137/Museu_ProvidedCHO_Bildarchiv_Foto_Marburg_obj20881438
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.bildindex.de%2Fbilder%2Fd%2Ffmd487696&size=LARGE&type=IMAGE,"Ratshalle — Gotische Decke — Fries mit Jagd- und Reinecke Fuchs-Szenen — Südwand: Szenen der Fabel Reinecke Fuchs mit Lampe den Hasen, Pflückebeutel dem Raben und Pferd","Scharffenberg, ?",Bildarchiv Foto Marburg,germany,IMAGE,1300,/2064137/Museu_ProvidedCHO_Bildarchiv_Foto_Marburg_obj20838929
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.bildindex.de%2Fbilder%2Fd%2Ffmc1571328&size=LARGE&type=IMAGE,"Figurenschach — Bauer und Pferd (Läufer, Springer)","Grießl, Rupert",Bildarchiv Foto Marburg,germany,IMAGE,1898,/2064137/Museu_ProvidedCHO_Bildarchiv_Foto_Marburg_obj20837981
