items_edmPreview,items_id,items_type,items_title,items_edmTimespanLabelLangAware_def,items_dcCreator,items_dataProvider,items_country
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffotothek.slub-dresden.de%2Ffotos%2Fdf%2Fge%2F0005000%2Fdf_ge_0005556.jpg&size=LARGE&type=IMAGE,/2048416/item_PWW34CFKN6MK7O2TD25VQ6L2IALBX77O,IMAGE,"Museum Louvre, Besucher vor dem Bild der Mona Lisa von Leonardo da Vinci",2005,"Gerig, Uwe (Fotograf)",Deutsche Fotothek,germany
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffotothek.slub-dresden.de%2Ffotos%2Fdf%2Fge%2F0005000%2Fdf_ge_0005562.jpg&size=LARGE&type=IMAGE,/2048409/item_I6SMQIKEHW653BZXBZBINVQ6LVD7HY2M,IMAGE,"Museum Louvre, Mona Lisa als Ziel für Amateurfotografen aus allen Ländern, die in langer Schlange vor dem Bild warten",2005,"Gerig, Uwe (Fotograf)",Deutsche Fotothek,germany
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffotothek.slub-dresden.de%2Ffotos%2Fdf%2Fge%2F0005000%2Fdf_ge_0005555.jpg&size=LARGE&type=IMAGE,/2048419/item_OPLRCRD7N4KU2NGZIZ56DNUNTKY2LVP5,IMAGE,"Museum Louvre, Besucher fotografieren vor dem Bild der Mona Lisa",2005,"Gerig, Uwe (Fotograf)",Deutsche Fotothek,germany
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffotothek.slub-dresden.de%2Ffotos%2Fdf%2Fge%2F0005000%2Fdf_ge_0005559.jpg&size=LARGE&type=IMAGE,/2048410/item_LG26KH6BU3JZBNLKDLK5WNR7ZXF7AWJ2,IMAGE,"Museum Louvre, Mona Lisa hinter Panzerglas, im Visir von Digitalfotografen",2005,"Gerig, Uwe (Fotograf)",Deutsche Fotothek,germany
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffotothek.slub-dresden.de%2Ffotos%2Fdf%2Fge%2F0005000%2Fdf_ge_0005563.jpg&size=LARGE&type=IMAGE,/2048410/item_IMZTQ2QDKR5U6QGAPDT6V4HPAO7WBWCP,IMAGE,"Museum Louvre, Mona Lisa als Ziel für Digitalfoto-Amateure",2005,"Gerig, Uwe (Fotograf)",Deutsche Fotothek,germany
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffotothek.slub-dresden.de%2Ffotos%2Fdf%2Fhauptkatalog%2F0190000%2Fdf_hauptkatalog_0190407.jpg&size=LARGE&type=IMAGE,/2048408/item_KYHBJXWNWCRNAI4TVYOLF2B5UHI3I4D7,IMAGE,Mona Lisa - 2000,1977,"Jansong, Joachim",Deutsche Fotothek,germany
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fstatics.ccma.cat%2Fmultimedia%2Fjpg%2F3%2F4%2F1349886400243.jpg&size=LARGE&type=VIDEO,/2051922/data_euscreenXL_4282073,VIDEO,Divendres: Origens catalans de la Mona Lisa,2012,,TV3 Televisió de Catalunya (TVC),spain
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fstatics.ccma.cat%2Fmultimedia%2Fjpg%2F0%2F1%2F1349275503810.jpg&size=LARGE&type=VIDEO,/2051922/data_euscreenXL_4270890,VIDEO,Buscant el rastre de la Mona Lisa,2012,,TV3 Televisió de Catalunya (TVC),spain
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fstatics.ccma.cat%2Fmultimedia%2Fjpg%2F4%2F0%2F1297171795804.jpg&size=LARGE&type=VIDEO,/2051922/data_euscreenXL_3359890,VIDEO,Els matins: Noves revelacions sobre la Gioconda: Està inspirada en l'amant de Da Vinci,2011,,TV3 Televisió de Catalunya (TVC),spain
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fcyfrowe.mnw.art.pl%2FContent%2F34809%2Frysw190.jpg&size=LARGE&type=IMAGE,/094041/_nn0Wq58,IMAGE,Mona Lisa w sleepingu,1939,"Janisch, Jerzy (1901-1962)",Muzeum Narodowe w Warszawie,poland
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fkeyframe.nava.hu%2Fallframe%2F2006%2F04%2F02%2Fm1-3026%2Fm1-3026-00454500.jpg&size=LARGE&type=VIDEO,/2051912/data_euscreenXL_81106,VIDEO,A Nap-kelte sztárszínpadán a Mona Lisa együttes,2006,,NAVA,hungary
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=https%3A%2F%2Fgfx.nrk.no%2FPbU3ihJjSY-KH_VEQG0cYwczA9cIakUTmkdaTe-KOCJg&size=LARGE&type=VIDEO,/2051944/data_euscreenXL_5002237,VIDEO,Oslo: Utstillingen Kvinnens Verden 17. mai. 1956 · Filmavisen 1956,1974,,NRK,norway
